poi_name,poi_id,category,region,best_source_url,official_description,source_count,matched,method,kind
Sha'ab Marsa Alam,Sha'ab Marsa Alam,natural,Marsa Alam,https://www.padi.com/dive-site/egypt/shaab-marsa-alam/,"Dive site is 10 minutes by boat from Marsa Alam marina. The perfect place for a drift dive (moderate current) around the reef surrounded by magnificent coral gardens! A small wreck can also be discovered on the southside. There you may encounter dolphins, stingrays, sea turtles, scorpionfish, crocodile fish, Napoleon wrasse, and parrotfish.",1,True,api,authoritative
Sha'ab Samadai (Dolphin House),Sha'ab Samadai (Dolphin House),natural,Marsa Alam,https://www.padi.com/dive-site/egypt/shaab-samadai-dolphin-house/,"Sha’ab Samadai, also known as Dolphin House, is a world-renowned marine park in Marsa Alam, Red Sea, Egypt, famous for its natural lagoon where wild spinner dolphins gather regularly. This protected reef offers a magical opportunity to observe and swim near dolphins in their natural habitat. Beyond dolphins, Sha’ab Samadai is home to a vibrant underwater world, including colorful reef fish, parrotfish, clownfish, barracuda, turtles, and blue-spotted stingrays. The reef’s horseshoe shape shelters lush coral gardens and dramatic swim-throughs ideal for both snorkeling and diving. With Blue Ocean Dive Centers &amp; Resorts Marsa Alam, guests enjoy guided, eco-friendly trips that prioritize safety and marine conservation. Whether you&#x27;re a diver or snorkeler, Sha’ab Samadai delivers one of the most unforgettable marine experiences in Marsa Alam. Explore the wonders of Dolphin House with Blue Ocean, your trusted gateway to the Red Sea.",2,True,api,authoritative
Blue Hole,Blue Hole,natural,Sinai,https://www.padi.com/dive-site/egypt/blue-hole-3/,"The Blue Hole/Bells is one of the most famous dive sites in the world, it´s also the dive site that started the hype of diving in Dahab. It&#x27;s the spot for Free divers, Tec divers and Recreational. Usually one enters this site through an open chimney called the Bells. The name comes from the sound of tanks touching the wall as it’s very narrow, only one diver can go down at a time. Divers exit this chimney at approximately 26m and swim to the right along the outer wall of the Blue Hole where majestic overhangs full of corals are waiting to be marveled. You could also spend the day at the comfort of the cafe while you enjoy multiple different profiles at the same site through the hole shore entrance.",1,True,api,authoritative
Ras Abu Galum,Ras Abu Galum,natural,Sinai,https://www.padi.com/dive-site/egypt/ras-abu-galum-south/,"This dive site has an average depth of 20-30m which suits divers of all levels. Diving here is often started at a sandy slope that descends from the shore with the reef wall starting on both sides. Lots of pinnacles, dramatic rock formations and a great variety of marine life can be explored at this dive site. Ras Abu Galum is also the site you want to experience a camping adventure. Accessible only by boat or camel this place offers original Bedouin huts, dinner stargazing and breakfast. Adventure lovers will not be disappointed.",1,True,api,authoritative
Ras Mohammed,Ras Mohammed,natural,Sinai,https://www.padi.com/dive-site/egypt/ras-muhammed-national-park/,"Diving in Ras Mohamed is a top attraction for divers due to its stunning coral reefs and rich marine life. Key highlights include: Home to vibrant ecosystems with diverse hard and soft corals. Popular spots include Shark Reef and Yolanda Reef, known for their beauty and marine life. Encounter species like clownfish, turtles, and even sharks. Clear waters often exceed 30 meters, ideal for underwater exploration. Suitable for all skill levels, with guided tours available. With its breath-taking underwater scenery, Ras Mohamed is a must-visit for diving enthusiasts.",1,True,api,authoritative
Straits of Tiran,Straits of Tiran,natural,Sinai,https://www.padi.com/dive-site/egypt/thomas-reef-straits-of-tiran/,"This is the smallest reef in the Straits, but also one of the most popular. The dive is governed by the weather conditions as the western side is often impossible to pick divers up from. The dive is done as a drift dive with potentially strong currents on the southern and northern ends of the reef. The ends are vertical walls with a large plateau at about 25m on the south eastern side. This plateau often has sleeping sharks on the sand patches and the coral has a fence of Gorgonia fans at the end. After the Gorgonia fans the reef returns to a wall before coming to the corner of the reef, watch the currents. If conditions allow it is possible to go round to the other side of the reef, which is a wall disappearing into the deep.",1,True,api,authoritative
The Canyon (Dahab),The Canyon (Dahab),natural,Sinai,https://www.padi.com/dive-site/egypt/the-canyon-8/,"The Dahab Canyon is the classic canyon, an essential dive for all fanatics of caves and cavern diving. The Canyon is itself quite a phenomenon. Up to 10 meters high and virtually closed over at the top, it snakes its way up from the depths, to emerge in a large glassfish filled coral dome. The Canyon dive site offers an easy entry and exit point through a shallow, sandy lagoon. This leads out to beautiful coral gardens inhabited by Butterflyfishes, Unicornfishes, Octopus, Pufferfish and of course Red Sea Anthias, which can only be fully explored after several visits. The Canyon itself is positioned about five minutes north-east from the exit of the lagoon. The entry to the Canyon is done through it largest point at about 20 meters. The progression through the Canyon is easy and the light effect caused by the sun rays is fantastic",1,True,api,authoritative
Tiran Island,Tiran Island,natural,Sinai,https://www.padi.com/dive-site/egypt/thomas-reef-straits-of-tiran/,"This is the smallest reef in the Straits, but also one of the most popular. The dive is governed by the weather conditions as the western side is often impossible to pick divers up from. The dive is done as a drift dive with potentially strong currents on the southern and northern ends of the reef. The ends are vertical walls with a large plateau at about 25m on the south eastern side. This plateau often has sleeping sharks on the sand patches and the coral has a fence of Gorgonia fans at the end. After the Gorgonia fans the reef returns to a wall before coming to the corner of the reef, watch the currents. If conditions allow it is possible to go round to the other side of the reef, which is a wall disappearing into the deep.",1,True,api,authoritative
Nubian Village,,cultural,Aswan,https://www.experienceegypt.eg/en/city/9/aswan-abu-simbel,Ask a fuluka/boat captain to take you to a beach for a cool and safe dip in the Nile near the Nubian village of Gharb Soheil or on a small island near Philae.,1,True,bs4,thin_tip
Khan el-Khalili,,historical,Cairo,https://www.experienceegypt.eg/en/city/1/cairo-giza,"Khan al-Khalili, Cairo’s iconic medieval bazaar, where you can spend hours or days browsing through a labyrinth of shops and alleyways.",1,True,bs4,thin_tip
Valley of the Queens,,historical,Luxor,https://www.experienceegypt.eg/en/city/22/luxor,Don’t miss the Tomb of Queen Nefertari in the Valley of the Queens with its well-preserved colorful reliefs.,1,True,bs4,thin_tip
Abu Minqar Island,Abu Minqar Island,natural,Hurghada,,,1,False,,target_unmatched
Jabal el Sakka Reef,Jabal el Sakka Reef,natural,Hurghada,,,1,False,,target_unmatched
Magawish Island,Magawish Island,natural,Hurghada,,,1,False,,target_unmatched
Abu Ghusum (Fury Shoals),Abu Ghusum (Fury Shoals),natural,Marsa Alam,,,1,False,,target_unmatched
Habili Nakari,Habili Nakari,natural,Marsa Alam,,,1,False,,target_unmatched
Hamata Islands,Hamata Islands,natural,Marsa Alam,,,1,False,,target_unmatched
Marsa Egla,Marsa Egla,natural,Marsa Alam,,,1,False,,target_unmatched
Marsa Shouna,Marsa Shouna,natural,Marsa Alam,,,1,False,,target_unmatched
Marsa Tondoba,Marsa Tondoba,natural,Marsa Alam,,,1,False,,target_unmatched
Qulaan Lagoon,Qulaan Lagoon,natural,Marsa Alam,,,1,False,,target_unmatched
Rawabil Island (Red Maldives),Rawabil Island (Red Maldives),natural,Marsa Alam,,,1,False,,target_unmatched
Rocky Island,Rocky Island,natural,Marsa Alam,,,1,False,,target_unmatched
Sharm El Luli (Ras Hankorab),Sharm El Luli (Ras Hankorab),natural,Marsa Alam,,,1,False,,target_unmatched
Temple Lagoon Reef,Temple Lagoon Reef,natural,Marsa Alam,,,1,False,,target_unmatched
Zabargad Island (Peridot Hill),Zabargad Island (Peridot Hill),natural,Marsa Alam,,,1,False,,target_unmatched
Blue Lagoon,Blue Lagoon,natural,Sinai,,,1,False,,target_unmatched
Colored Canyon,Colored Canyon,natural,Sinai,,,1,False,,target_unmatched
Ras El Shitan,Ras El Shitan,natural,Sinai,,,1,False,,target_unmatched
White Canyon,White Canyon,natural,Sinai,,,1,False,,target_unmatched
Abu Helal,padi:1026,natural,,https://www.padi.com/dive-site/egypt/abu-helal/,"Ras Abu Helal, also known as &#x27;Little Canyon&#x27; translates as, &#x27;Headland of the Crescent Moon&#x27;, referring to a crescent-shaped reef south of Abu Talha. Abu Helal and Abu Talha can only be dived at high tide in perfect conditions which leads to them being dived much less than other sites making the corals in pristine condition. This site has everything for both technical and recreational diving. The reef encircles a shallow lagoon at about 12m. Outside is a gently sloping bay and on its northern side a broad ridge. The start of this ridge features one of the finest coral garden in the Dahab area and this is the main focus of the dive site. Alternatively there is a deeper canyon dive in 30 - 40m at the end of this ridge.",1,False,api,extra_capture
Abu Kafan North,padi:10127,natural,,https://www.padi.com/dive-site/egypt/abu-kafan-north/,Abu Kafan is one of the most beautiful places here in Safaga. The north place has a great plateau that offers a drop off with beautiful black corals.,1,False,api,extra_capture
Abu Soma Garden,padi:10089,natural,,https://www.padi.com/dive-site/egypt/abu-soma-garden/,This is a beautiful long reef what goes from 1 meter slowly till 30 meters dept and is on the south side of the diving reef Ras Abu Soma. A lot of different corals you will see and sometimes you see a eagly ray or barracudas passing by. Swimming murene and many small fish you will see during your diving. At dept you will have some more sand where you can find crocodile fish,1,False,api,extra_capture
Amphoras Dive Site,padi:10624,natural,,https://www.padi.com/dive-site/egypt/amphoras-dive-site/,"Great place for diving beginners and professionals. A variety of corals and fish will make underwater time interesting and unforgettable. You can meet turtle, stingray, lionfish and many other fish. The maximum depth is 170 meters. There are shallow caves.",1,False,api,extra_capture
Anar Dive Center house reef,padi:7376,natural,,https://www.padi.com/dive-site/egypt/anar-dive-center-house-reef/,"Nice dive for beginner and experience divers. The marine landscape of the reef is a beautiful wall dropping to a depth of more than 180 meters. Extraordinarily rich in multicoloured corals: one of the most concentrated growths on this part of the coast. In particular - the pink soft corals for which the site is named. Dive at an average depth of about 15 m, this is where you will see the largest concentration of soft corals",1,False,api,extra_capture
Anthias Divers House Reef,padi:696,natural,,https://www.padi.com/dive-site/egypt/anthias-divers-house-reef/,"Fancy a lazy day or perhaps it has been a little while since your last dive? Our gorgeous house reef offers something for every diver from beginner to pro. The gentle shore dive allows you to walk in to the water and prepare your self at your own speed, then when you are ready to sink beneath the sparkling turquoise water, you will be able to explore many coral pinnacles at a very leisurely pace with little to no current. We have regular sightings of green turtles and eagle rays in this beautiful spot, along with the usual Red Sea suspects including crocodile fish, lion fish, blue spotted stingray and octopus to name a few.",1,False,api,extra_capture
Bannerfish Bay,padi:1055,natural,,https://www.padi.com/dive-site/egypt/bannerfish-bay/,"Named after the Bannerfish cruising the bay by day and by night, and a site rich in different habitats and sea life. From seagrass hosting Seahorses and Turtles, sandy slopes full of Flounders, ghost Pipefish, Seamoths and Frogfishes to mini reefs rich in biodiversity (Octopus, Morays and a large variety of Shrimps and Scorpionfish). A must for beginners as well as experienced divers, marine biologist fanatics and photographers. The bay also offers great training sites with sand patches and a buoyancy park for advanced training.",1,False,api,extra_capture
Canyon,padi:1025,natural,,https://www.padi.com/dive-site/egypt/canyon-2/,"The Canyon dive site is on the way to the Blue Hole. Most likely you’re going to dive here as well when you go to the Blue Hole. You will have a short swim through a shallow sandy lagoon. The exit of this lagoon and the following pinnacles are just breathtaking and will blow your mind. From 5-20m you’ll find a beautiful garden of corals and then discover the canyon itself – a split between the reef going down to 54m. Beautiful soft and hard corals as well as the chance to see Octopus en masse, making this dive truly amazing.",1,False,api,extra_capture
Careless Reef,padi:22599,natural,,https://www.padi.com/dive-site/egypt/careless-reef/,"Careless Reef is a renowned dive site located near Ras Mohammed, offering an exciting mix of dramatic walls, vibrant coral gardens, and abundant marine life. The site is named for its steep drop-offs and occasionally tricky currents, making it best suited for intermediate to advanced divers. The reef itself is rich in biodiversity, with thriving hard and soft corals, schools of parrotfish, snappers, and large pelagic species like barracudas and jacks often spotted around the reef&#x27;s edges. Divers can explore the vertical walls and deep crevices, where eagle rays, moray eels, and occasionally reef sharks can be seen. With its impressive visibility and variety of marine life, Careless Reef offers an exhilarating dive for those seeking an underwater adventure in the Red Sea’s vibrant marine ecosystem.",1,False,api,extra_capture
Caves,padi:1126,natural,,https://www.padi.com/dive-site/egypt/caves-2/,"The entry to the Caves is a giant stride off the ledge and into the deep blue. The Caves can only be dived in calm conditions as jumping off the ledge can be quite tricky when there are waves crashing on the shore. Once in the water the cave is directly below you and on both the left and right side you will find a shallow reef. The reef that circles the cave is just as attractive as the cave itself with both soft and hard corals being abundant. Here you will often spot large groupers, scorpionfish and morays and a tiger shark has been spotted on a number of occasions. Enter the cave and swim to the back then turn and watch the light shine through the swarms of anthias and bannerfish swimming upside down on the ceiling of the cave, a perfect spot for your safety stop!",1,False,api,extra_capture
Desert Rose Resort House Reef,padi:25042,natural,,https://www.padi.com/dive-site/egypt/desert-rose-resort-house-reef/,"The Beach Dive Hurghada experience with Red Sea Life offers a fast, convenient, and professionally guided way to explore the Red Sea in Hurghada, Egypt directly from the shore. Located at Desert Rose Resort, this shore dive allows you to access vibrant coral reefs and marine life without the need for a boat. This experience is perfect for certified divers searching for scuba diving hurghada, hurghada diving, diving hurghada, red sea diving, scuba diving egypt, and a professional diving center in Hurghada. Designed for certified divers, this experience delivers a 60 minute underwater adventure filled with colorful reefs, tropical fish, and excellent visibility. With Red Sea Life, you enjoy a trusted diving center, professional diving club, experienced hurghada diving center, reliable scuba store hurghada support, and PADI guided service for safe and enjoyable shore diving in Hurghada.",1,False,api,extra_capture
Eel Garden,padi:1027,natural,,https://www.padi.com/dive-site/egypt/eel-garden-3/,"Eel Gardens takes its name from the countless garden eels that carpet the sea floor not far from the entry point of the dive. After walking over the reef plate to the entry spot which is a nine meter canyon, it then broadens into a large sandy area that slopes down gradually. After diving along a jutting reef that lies perpendicular to the main reef the eels slowly come into view, waving to and fro in the current like synchronized swimmers who vanish back into the sand as you approach. Descend to about 20m where you will find a nearly flat section of reef with coral boulders and several table corals. It is quite common to find a thick congregation of barracudas regularly patrolling the area. On your way back at around 5 and 10m you will see healthy, wide range variety of both soft and hard corals and look out here for the rare sea grass ghost pipe-fish.",1,False,api,extra_capture
Eel Garden Dive Urge,padi:17853,natural,,https://www.padi.com/dive-site/egypt/eel-garden-dive-urge/,"A beautiful sunlit sandy bottom covered in a field of Garden Eels. The reef hugging this slope is called Disneyworld locally as the colours and vibrance of the corals and Scholls of fish here. Sightings of Turtles, Eagle Rays as well as large schools of butterfly fish. A photographers paradise...just don&#x27;t kick up the sand!",1,False,api,extra_capture
El Fanadir North,padi:11454,natural,,https://www.padi.com/dive-site/egypt/el-fanadir-north/,"El Fanadir is a reef stretching for 3 kilometers and is around 4 kilometers away from shore and has to be done by boat. The reef has a wall on the north East sides, full of corals and fish. There is a sand bottom between the wall and the drop off where you will find patches of corals. The drop off is paralel to the wall and starts at 18 meters going to 30+. Also there is a shallow sandy lagoon on the south east side of the reef, perfect for beginners.",1,False,api,extra_capture
El Gilwa,padi:22600,natural,,https://www.padi.com/dive-site/egypt/el-gilwa/,"Dive into a captivating underwater realm where the gentle to moderate current flows in from the east, creating the perfect conditions for exhilarating drift dives. Nestled within this beautiful lagoon, you’ll find a sheltered haven, ideal for Open Water courses, where novices can safely explore the wonders of the ocean. Surrounding the lagoon, a collection of stunning coral blocks and pinnacles rise gracefully from the seabed, inviting you to discover their vibrant ecosystems at shallow depths. Here, smaller coral formations are interspersed with sandy patches, providing a picturesque backdrop for your underwater adventures. As you glide through this enchanting setting, keep your eyes peeled for the diverse marine life that calls this place home. Each dive promises a unique experience in this serene, beautiful environment.",1,False,api,extra_capture
El Mina wreck,padi:5135,natural,,https://www.padi.com/dive-site/egypt/el-mina-wreck/,"Rests on a rocky seabed sloping from 25 meters under the bow to 32 meters at the stern. The wreck lies on a northwest-southeast axis on her portside. Before you dive it is recommended to read up on the dramatic history of the wreck. It is usually calm here; in fact the wreck is a very good bad weather alternative for those turning back from a blown out trip to the wrecks at Abu Nuhas. Current can scream through here though from the north, but there is always shelter behind the decks of the ship. Should the current be ripping, please remember to monitor your air frequently. The wreck is only 60 meters to 70 meters long, so no need to rush. The aft section is bristling with winches and anti-aircraft guns whilst the fore-deck guns have been sheared off. The blast-hole area is suitable for penetration, though elsewhere it is inadvisable. All around, on the seabed are live shells – look but don’t touch.",1,False,api,extra_capture
El Shugarat,padi:1127,natural,,https://www.padi.com/dive-site/egypt/el-shugarat/,"El Shugarat is also known as little trees in Arabic, and you will see why. This dive is one you can only made by boat. The captain will drop you off right next to the reef. Descend down and swim along a beautiful reef wall until you come to a sandy bottom. On the deep side of the sandy bottom at around 16 m you will find an impressive open canyon. When you descend between the walls off the canyon, at around 30 m two big black corals will come into view on each side, take time to look for the long nose hawkfish. Exit the canyon to the left and you will swim in to a virtual forest of gorgonian fan corals. As you are flying over this amazing site you will see them scattered down the reef wall out of sight and into the deep. Unbelievable. As you slowly ascend while still soaring over this forest you will return back to the reef table then enter one of the most beautiful lagoons in Dahab. You can see giant table corals and all kinds of life in and around this lagoon. Once returned to the reef wall you see the last set of gorgonians and turning back into the lagoon in search for nudibranches, blue-spotted rays, crocodile fish and many other species. On the end of the lagoon you reach the canyon so take time to throw a last look inside and to get ready for the safety stop.",1,False,api,extra_capture
Emperor Divers House Reef,padi:9951,natural,,https://www.padi.com/dive-site/egypt/emperor-divers-house-reef-2/,"An awesome dive site that fits all levels, from beginner course to technical diving",1,False,api,extra_capture
Far Garden,padi:684,natural,,https://www.padi.com/dive-site/egypt/far-garden/,"Far Garden dive site is the northern headland to the Middle Garden site. It can be dived as either a mooring, semi-drift or drift dive although the current is normally very light. The topography is mainly a sloping wall but at the beginning of the dive there are quite a few large coral pinnacles with some Gorgonian Fan corals. Don’t forget to look out into the blue on this dive, as Far Garden is one of the Sharm el Sheikh local sites which Manta Rays like to frequent.",1,False,api,extra_capture
Gabr el Bint,padi:21376,natural,,https://www.padi.com/dive-site/egypt/gabr-el-bint/,"Gabr el Bint ranks among one of the most attractive sites of North Sinai. With the access by boat, 4x4 or by camel, it is less frequently dived than the other dive sites in Dahab which has left this site in pristine condition. Gabr el Bint means &#x27;The Grave of the Girl&#x27; in Arabic. There are two dives possible here. The ledge is riddled with exquisite coral heads that attract numerous reef species, including swarms of anthias, scorpionfish, parrotfish, crocodilefish, surgeonfish, triggerfish, trumpetfish, stingrays and very often a turtle. At the end of the ledge usually is home to a shoal of black and white snappers and twinspot snappers hang here between 5m and 10m. One of the truly breathtaking dives in Dahab.",1,False,api,extra_capture
Gamul Kebir,padi:10134,natural,,https://www.padi.com/dive-site/egypt/gamul-kebir-2/,"In the north of Gamul Kebir there are different blocks with beautiful soft corals. As you often can see a group of Barracudas, that&#x27;s why it&#x27;s also called Barracuda House. Nice sea grass is in between the blocks. In winter time the strong wind mostly makes diving impossible but at the southern reef it is normally easy to dive",1,False,api,extra_capture
Gamul Kebir,padi:22900,natural,,https://www.padi.com/dive-site/egypt/gamul-kebir/,"Gamul Kebir, also known as Gamul Kabir or Gamul Al Kabeir, is a renowned dive site situated approximately 30 minutes by boat from Safaga, Egypt, in the Red Sea. This site is celebrated for its vibrant marine biodiversity and crystal-clear waters, offering exceptional visibility that makes it a paradise for divers of all levels . Dive Site Overview Depth: The reef rises from a depth of about 15 meters (approximately 50 feet), encircling a lagoon that opens to the west . Structure: The main reef forms a circular formation, with three pinnacles extending to the north. These structures are adorned with soft corals and seagrass beds, providing habitats for a diverse range of marine life . Marine Life: Divers can expect to encounter large schools of barracuda, big-eyed emperor fish, snappers, eagle rays, white-tip reef sharks, and occasionally dugongs. The seagrass areas are home to unique species like sea moths and bluespotted stingrays .",1,False,api,extra_capture
Gamul Soraya,padi:10135,natural,,https://www.padi.com/dive-site/egypt/gamul-soraya/,"Gamul Soraya is a small coral block. The outer side is great to dive. This dive site has different blocks that goes south side. Those blocks are looking stunning and during the dive, when looking in the blue water there you have sometimes an eagle ray",1,False,api,extra_capture
Gasous Sogher,padi:16205,natural,,https://www.padi.com/dive-site/egypt/gasous-sogher/,"An easy entry and exit site, shore dive with a collection of soft and hard corals where you can meet a lot of marine life, clear water and quite dive site",1,False,api,extra_capture
Grand Makadi house reef,padi:20163,natural,,https://www.padi.com/dive-site/egypt/grand-makadi-house-reef/,"The house reef is home to a large variety of marine life, including colorful fish, lion fish, pesci pagliaccio, maccarelli, pesci napoleoni, octopus, leopard ray, stone fish, eagle rays and more and more and very often even turtles. hard and soft corals.",1,False,api,extra_capture
Green Hole,padi:16206,natural,,https://www.padi.com/dive-site/egypt/green-hole/,"An easy entry and exit site, shore dive with a collection of soft and hard corals where you can meet a lot of marine life, clear water and quite dive site , remote location so you will not find a lot of diver most of the time it is our group only.",1,False,api,extra_capture
Gubal Island,padi:1868,natural,,https://www.padi.com/dive-site/egypt/gubal-island/,"Bluff point is a steep wall dive that follows the coastline. There are plenty of small passages and inlets in the rock that hides away a lot of marine life. The reef is full of glassfish, butterflyfish, crocodilefish and a flat-headed scorpionfish. The wreck itself isn&#x27;t much to look at, but it serves as an attraction for marine life.",1,False,api,extra_capture
House Reef - Gorgonia,padi:22639,natural,,https://www.padi.com/dive-site/egypt/house-reef-gorgonia/,"It is possible to dive into the site via the jetty, by taking the giant&#x27;s step or via ladders. Depending on the current, it is possible to dive north or south, keeping close to the wall to admire the beauty this site has to offer. A maximum depth of 30 meters is recommended and plan carefully for greater depths. An excellent dive site for those who have recently started diving and want to practice on themselves. According to local regulations, a surface marker buoy and a dive computer are mandatory. At 18:00 in the evening it is forbidden to dive as it is closed; it is advisable to schedule dives with the local PADI Diving Center for night dives.",1,False,api,extra_capture
