poi_name,poi_id,source_url,official_description,extra_attrs,matched,method
Panorama Reef,Panorama Reef,https://www.padi.com/dive-site/egypt/panorama-north-2/,Panorama reef is one of the biggest and well-known reefs in Safaga. The extent of this single big coral block is 400 meters. Usually you dove at the south point with it&#x27;s exceptional plateau going down to 35 meters. Down there you can see Eagle rays. Unique in this place is a wonderful anemone field sloping down from the surface to 15 meter. More than 40 Anemone fishes are usual seen there. This area is ideal for drift dives. By good weather conditions you can dive on the north side where you can find beautiful coral formations.,"{""dive_types"": ""Drift, Reef, Wall, Ocean"", ""common_sightings"": ""Sharks, Whales, Dolphins, Turtles"", ""lat"": 26.750976, ""lng"": 34.079289}",true,api
Tobia Arba (The Seven Pillars),Tobia Arba (The Seven Pillars),https://www.padi.com/dive-site/egypt/tobia-arbaa-7-pillars/,"As the name suggests 7 pillars come up from a depth of 10 to 12 meters, rising up almost to the surface. They are surrounded by small coral where you can find all kinds of fish","{""dive_types"": ""Pinnacle, Sandy bottom, Ocean"", ""common_sightings"": ""Sharks, Whales, Dolphins, Turtles"", ""lat"": 26.836641, ""lng"": 33.991324}",true,api
Ras Mohammed,Ras Mohammed,https://www.padi.com/dive-site/egypt/ras-muhammed-national-park/,"Diving in Ras Mohamed is a top attraction for divers due to its stunning coral reefs and rich marine life. Key highlights include: Home to vibrant ecosystems with diverse hard and soft corals. Popular spots include Shark Reef and Yolanda Reef, known for their beauty and marine life. Encounter species like clownfish, turtles, and even sharks. Clear waters often exceed 30 meters, ideal for underwater exploration. Suitable for all skill levels, with guided tours available. With its breath-taking underwater scenery, Ras Mohamed is a must-visit for diving enthusiasts.","{""dive_types"": ""Wreck, Cave, Drift, Reef"", ""common_sightings"": ""Great white shark, Manta ray, Sharks, Rays, Gorgonian fan, Coral"", ""lat"": 27.72566494956232, ""lng"": 34.25936222076417}",true,api
Blue Hole,Blue Hole,https://www.padi.com/dive-site/egypt/blue-hole-3/,"The Blue Hole/Bells is one of the most famous dive sites in the world, it´s also the dive site that started the hype of diving in Dahab. It&#x27;s the spot for Free divers, Tec divers and Recreational. Usually one enters this site through an open chimney called the Bells. The name comes from the sound of tanks touching the wall as it’s very narrow, only one diver can go down at a time. Divers exit this chimney at approximately 26m and swim to the right along the outer wall of the Blue Hole where majestic overhangs full of corals are waiting to be marveled. You could also spend the day at the comfort of the cafe while you enjoy multiple different profiles at the same site through the hole shore entrance.","{""dive_types"": ""Drift, Reef, Wall"", ""common_sightings"": ""Coral, Wrasse"", ""lat"": 28.572461991197848, ""lng"": 34.53732490539551}",true,api
Ras Abu Galum,Ras Abu Galum,https://www.padi.com/dive-site/egypt/ras-abu-galum-south/,"This dive site has an average depth of 20-30m which suits divers of all levels. Diving here is often started at a sandy slope that descends from the shore with the reef wall starting on both sides. Lots of pinnacles, dramatic rock formations and a great variety of marine life can be explored at this dive site. Ras Abu Galum is also the site you want to experience a camping adventure. Accessible only by boat or camel this place offers original Bedouin huts, dinner stargazing and breakfast. Adventure lovers will not be disappointed.","{""dive_types"": ""Beach, Reef"", ""common_sightings"": ""Sharks, Whales, Dolphins, Turtles"", ""lat"": 28.611773493838406, ""lng"": 34.553385972976685}",true,api
Tiran Island,Tiran Island,https://www.padi.com/dive-site/egypt/thomas-reef-straits-of-tiran/,"This is the smallest reef in the Straits, but also one of the most popular. The dive is governed by the weather conditions as the western side is often impossible to pick divers up from. The dive is done as a drift dive with potentially strong currents on the southern and northern ends of the reef. The ends are vertical walls with a large plateau at about 25m on the south eastern side. This plateau often has sleeping sharks on the sand patches and the coral has a fence of Gorgonia fans at the end. After the Gorgonia fans the reef returns to a wall before coming to the corner of the reef, watch the currents. If conditions allow it is possible to go round to the other side of the reef, which is a wall disappearing into the deep.","{""dive_types"": ""Cave, Drift, Reef, Wall"", ""common_sightings"": ""Sharks, Whales, Dolphins, Turtles"", ""lat"": 27.992279327926045, ""lng"": 34.46093559265137}",true,api
Straits of Tiran,Straits of Tiran,https://www.padi.com/dive-site/egypt/thomas-reef-straits-of-tiran/,"This is the smallest reef in the Straits, but also one of the most popular. The dive is governed by the weather conditions as the western side is often impossible to pick divers up from. The dive is done as a drift dive with potentially strong currents on the southern and northern ends of the reef. The ends are vertical walls with a large plateau at about 25m on the south eastern side. This plateau often has sleeping sharks on the sand patches and the coral has a fence of Gorgonia fans at the end. After the Gorgonia fans the reef returns to a wall before coming to the corner of the reef, watch the currents. If conditions allow it is possible to go round to the other side of the reef, which is a wall disappearing into the deep.","{""dive_types"": ""Cave, Drift, Reef, Wall"", ""common_sightings"": ""Sharks, Whales, Dolphins, Turtles"", ""lat"": 27.992279327926045, ""lng"": 34.46093559265137}",true,api
The Canyon (Dahab),The Canyon (Dahab),https://www.padi.com/dive-site/egypt/the-canyon-8/,"The Dahab Canyon is the classic canyon, an essential dive for all fanatics of caves and cavern diving. The Canyon is itself quite a phenomenon. Up to 10 meters high and virtually closed over at the top, it snakes its way up from the depths, to emerge in a large glassfish filled coral dome. The Canyon dive site offers an easy entry and exit point through a shallow, sandy lagoon. This leads out to beautiful coral gardens inhabited by Butterflyfishes, Unicornfishes, Octopus, Pufferfish and of course Red Sea Anthias, which can only be fully explored after several visits. The Canyon itself is positioned about five minutes north-east from the exit of the lagoon. The entry to the Canyon is done through it largest point at about 20 meters. The progression through the Canyon is easy and the light effect caused by the sun rays is fantastic","{""dive_types"": ""Cave, Beach, Pinnacle, Reef, Cavern"", ""common_sightings"": ""Tuna, Grouper, Rays, Moray eel, Coral"", ""lat"": 28.554859844440887, ""lng"": 34.52118873596192}",true,api
Sharm El Luli (Ras Hankorab),Sharm El Luli (Ras Hankorab),,,"{""reason"": ""no_padi_match""}",false,
Qulaan Lagoon,Qulaan Lagoon,,,"{""reason"": ""no_padi_match""}",false,
Hamata Islands,Hamata Islands,,,"{""reason"": ""no_padi_match""}",false,
Marsa Egla,Marsa Egla,,,"{""reason"": ""no_padi_match""}",false,
Marsa Shouna,Marsa Shouna,,,"{""reason"": ""no_padi_match""}",false,
Marsa Tondoba,Marsa Tondoba,,,"{""reason"": ""no_padi_match""}",false,
Zabargad Island (Peridot Hill),Zabargad Island (Peridot Hill),,,"{""reason"": ""no_padi_match""}",false,
Rocky Island,Rocky Island,,,"{""reason"": ""no_padi_match""}",false,
Rawabil Island (Red Maldives),Rawabil Island (Red Maldives),,,"{""reason"": ""no_padi_match""}",false,
Abu Ghusum (Fury Shoals),Abu Ghusum (Fury Shoals),,,"{""reason"": ""no_padi_match""}",false,
Habili Nakari,Habili Nakari,,,"{""reason"": ""no_padi_match""}",false,
Temple Lagoon Reef,Temple Lagoon Reef,,,"{""reason"": ""no_padi_match""}",false,
Jabal el Sakka Reef,Jabal el Sakka Reef,,,"{""reason"": ""no_padi_match""}",false,
Abu Minqar Island,Abu Minqar Island,,,"{""reason"": ""no_padi_match""}",false,
Magawish Island,Magawish Island,,,"{""reason"": ""no_padi_match""}",false,
Colored Canyon,Colored Canyon,,,"{""reason"": ""no_padi_match""}",false,
White Canyon,White Canyon,,,"{""reason"": ""no_padi_match""}",false,
Blue Lagoon,Blue Lagoon,,,"{""reason"": ""no_padi_match""}",false,
Ras El Shitan,Ras El Shitan,,,"{""reason"": ""no_padi_match""}",false,
Red Sea College - House Reef,padi:670,https://www.padi.com/dive-site/egypt/red-sea-college-house-reef/,Naama Bay is a huge bay in the center of the Sharm el Sheikh resort and it just happens to be our very special House Reef. The Red Sea Diving College is literally steps away from the beach entry to this site. Due to the shallow incline of the bay and the large soft sandy patches it is used as the premiere training site from PADI Bubblemakers up to PADI IDC training. However it should not be dismissed as just a place to train. Dive a little deeper into the bay and you will be greeted with vast sea grass fields with hundreds of small critters to spot and grazing rays and turtles. There are large coral pinnacles with a plethora of fish life from tiny reflective glass fish to shy sleek Moray Eels.,"{""dive_types"": ""Beach, Reef"", ""common_sightings"": ""Sharks, Whales, Dolphins, Turtles""}",false,api
SS Dunraven Wreck,padi:679,https://www.padi.com/dive-site/egypt/ss-dunraven-wreck/,"This wreck of a British Steamer is on the Southern edge of Sha’ab Mahmoud which is also known as Beacon Rock as the wreck is directly below the South Cardinal Beacon. It is about another hour boat ride past Ras Mohammed and is prone to the weather conditions. Once at the reef there is some protection from the waves but it can still be a little rough. The Dunraven was built in 1873 in Newcastle and hit the reef in 1876. It has sunk in 30m of water right next to the reef wall and is completely upside down in two sections. The length is about 80m and it’s about 10m wide. The stern section is in about 29m to the sand and is open in places for those qualified to enter. This leads to a swim through by the side of the ship’s boiler and out where the wreck has broken in half. The exit being usually filled with glass fish in their thousands. The bow section is in shallower water with loads of places to stick your head into, but nowhere to get in. After the bow section the dive is usually done by fining over the hull which is covered in coral and then moving onto the reef wall and the shallows to finish the dive.","{""dive_types"": ""Wreck, Reef, Wall"", ""common_sightings"": ""Sharks, Whales, Dolphins, Turtles""}",false,api
Near Garden,padi:682,https://www.padi.com/dive-site/egypt/near-garden/,Out of all of the Sharm el Sheikh local sites Near Garden is the closest to our jetty – making it ideal for divers to join our dive boat at midday for the afternoon dive. It is located on the southern headland of Middle Garden or the northern headland of Naama Bay. This dive can be done as a mooring dive but is more popular with divers as a semi –drift dive. Divers normally enter where there are several pinnacles making a ridge down the sharp coral slope. You can then head north along the steep reef until it starts to flatten out as you enter Middle Garden. If the dive is planned as a semi-drift you can spend the last minutes of the dive exploring the fringing reef which has lots of small inlets.,"{""dive_types"": ""Drift, Reef"", ""common_sightings"": ""Sharks, Whales, Dolphins, Turtles""}",false,api
Middle Garden,padi:683,https://www.padi.com/dive-site/egypt/middle-garden/,"Middle Garden is a large sheltered bay. The site is very protected from the weather making it an ideal site for the first holiday dive or for Discover SCUBA diving dives. The fringing reef drops down between 2-3 meters to a large sandy area. This gently sloping sand area is dotted with small coral heads and is a great space to spot bottom-dwellers like the blue spotted sting ray. The main reef runs the length of the bay and gently slopes down into the blue, it is cut by several sandy ‘roads’ which make navigation easy. Middle Garden is an ideal site to have a relaxing dive over the reef with a chance to see if anything is cruising by in the blue. Once in a while Sharm el Sheikh local sites like Middle Garden can surprise you with a sighting of huge turtles, whale sharks or mantas.","{""dive_types"": ""Drift, Reef"", ""common_sightings"": ""Sharks, Whales, Dolphins, Turtles""}",false,api
Far Garden,padi:684,https://www.padi.com/dive-site/egypt/far-garden/,"Far Garden dive site is the northern headland to the Middle Garden site. It can be dived as either a mooring, semi-drift or drift dive although the current is normally very light. The topography is mainly a sloping wall but at the beginning of the dive there are quite a few large coral pinnacles with some Gorgonian Fan corals. Don’t forget to look out into the blue on this dive, as Far Garden is one of the Sharm el Sheikh local sites which Manta Rays like to frequent.","{""dive_types"": ""Drift, Reef"", ""common_sightings"": ""Sharks, Whales, Dolphins, Turtles""}",false,api
Temple,padi:686,https://www.padi.com/dive-site/egypt/temple/,"Temple dive site is in the southern area of Sharm el Sheikh local dive sites. It is a nice easy dive with interesting topography which can keep you exploring for ages. The sight as it names suggests is made up of several massive coral blocks which rise up from the sea bed to within meters of the surface. The main block is surrounded by smaller pinnacles making it look like an ancient underwater temple. The dive is usually done as a mooring dive, so the trick is to get your navigation correct, not to miss the main attraction and return to your boat – which is easier said than done.","{""dive_types"": ""Reef"", ""common_sightings"": ""Sharks, Whales, Dolphins, Turtles""}",false,api
Ras Katy,padi:687,https://www.padi.com/dive-site/egypt/ras-katy/,"Ras Katy is the first dive site from the main marina in Sharm el Mina. The boats normally moor between the fringing reef and the top of the main pinnacle, which reaches up to the surface; making it a popular spot for snorkelers as well as divers. There is a nice sheltered sandy area between the fringing reef and pinnacles which has many pairs of Goby and Shrimp. The pinnacles form a line parallel to the reef plate, which are covered in pretty soft and hard corals. Occasionally currents can pick up especially towards the corner in the direction of Temple.","{""dive_types"": ""Reef"", ""common_sightings"": ""Sharks, Whales, Dolphins, Turtles""}",false,api
Tower,padi:688,https://www.padi.com/dive-site/egypt/tower/,"Tower is one of the Sharm el Sheikh local dive sites which offers stunning topography with a dramatic U-Shaped vertical wall formation. This site is normally dived as a drift dive in a southerly direction towards Naama Bay, but can also be dived as a shore dive. Drop in on the wall and swim towards the U-shaped cutting. Just before the entry to this open cutting , there is a pinnacle rising up like a ‘tower’ hence the dive sites name. After exploring the vertical canyon and admiring the amazing light the dive continues along the gently reef slope and can finish on the plateau of the site named Sodfa which has a collection of delicate fan corals","{""dive_types"": ""Cave, Drift, Reef, Wall"", ""common_sightings"": ""Sharks, Whales, Dolphins, Turtles""}",false,api
Ras Nasrani,padi:689,https://www.padi.com/dive-site/egypt/ras-nasrani/,"One of the most northern Sharm el Sheikh local sites is Ras Nasrani. It is a popular site as it has a varied topography and can be dived as a drift, semi-drift or mooring dive. Just around the headland is the most northern site of Ras Gamila, but this exposed site can only be dived in very calm conditions. Generally the site is dived in a northerly direction but this is subject to currents. The fringing reef plate is peppered with large sandy bays and then the reef forms into an extended plateau with a dense coral covering. The plateau is a good place to see passing pelagic fish and the large Gorgonian fan corals which grow perpendicular to the current.","{""dive_types"": ""Cave, Drift, Reef, Wall"", ""common_sightings"": ""Sharks, Whales, Dolphins, Turtles""}",false,api
Anthias Divers House Reef,padi:696,https://www.padi.com/dive-site/egypt/anthias-divers-house-reef/,"Fancy a lazy day or perhaps it has been a little while since your last dive? Our gorgeous house reef offers something for every diver from beginner to pro. The gentle shore dive allows you to walk in to the water and prepare your self at your own speed, then when you are ready to sink beneath the sparkling turquoise water, you will be able to explore many coral pinnacles at a very leisurely pace with little to no current. We have regular sightings of green turtles and eagle rays in this beautiful spot, along with the usual Red Sea suspects including crocodile fish, lion fish, blue spotted stingray and octopus to name a few.","{""dive_types"": ""Wreck, Beach, Reef"", ""common_sightings"": ""Sharks, Whales, Dolphins, Turtles""}",false,api
Canyon,padi:1025,https://www.padi.com/dive-site/egypt/canyon-2/,"The Canyon dive site is on the way to the Blue Hole. Most likely you’re going to dive here as well when you go to the Blue Hole. You will have a short swim through a shallow sandy lagoon. The exit of this lagoon and the following pinnacles are just breathtaking and will blow your mind. From 5-20m you’ll find a beautiful garden of corals and then discover the canyon itself – a split between the reef going down to 54m. Beautiful soft and hard corals as well as the chance to see Octopus en masse, making this dive truly amazing.","{""dive_types"": ""Cave, Wall, Channel"", ""common_sightings"": ""Sharks, Whales, Dolphins, Turtles""}",false,api
Abu Helal,padi:1026,https://www.padi.com/dive-site/egypt/abu-helal/,"Ras Abu Helal, also known as &#x27;Little Canyon&#x27; translates as, &#x27;Headland of the Crescent Moon&#x27;, referring to a crescent-shaped reef south of Abu Talha. Abu Helal and Abu Talha can only be dived at high tide in perfect conditions which leads to them being dived much less than other sites making the corals in pristine condition. This site has everything for both technical and recreational diving. The reef encircles a shallow lagoon at about 12m. Outside is a gently sloping bay and on its northern side a broad ridge. The start of this ridge features one of the finest coral garden in the Dahab area and this is the main focus of the dive site. Alternatively there is a deeper canyon dive in 30 - 40m at the end of this ridge.","{""dive_types"": ""Reef"", ""common_sightings"": ""Sharks, Whales, Dolphins, Turtles""}",false,api
Eel Garden,padi:1027,https://www.padi.com/dive-site/egypt/eel-garden-3/,"Eel Gardens takes its name from the countless garden eels that carpet the sea floor not far from the entry point of the dive. After walking over the reef plate to the entry spot which is a nine meter canyon, it then broadens into a large sandy area that slopes down gradually. After diving along a jutting reef that lies perpendicular to the main reef the eels slowly come into view, waving to and fro in the current like synchronized swimmers who vanish back into the sand as you approach. Descend to about 20m where you will find a nearly flat section of reef with coral boulders and several table corals. It is quite common to find a thick congregation of barracudas regularly patrolling the area. On your way back at around 5 and 10m you will see healthy, wide range variety of both soft and hard corals and look out here for the rare sea grass ghost pipe-fish.","{""dive_types"": ""Beach, Reef"", ""common_sightings"": ""Sharks, Whales, Dolphins, Turtles""}",false,api
Red Tooth Trigger Bay,padi:1051,https://www.padi.com/dive-site/egypt/red-tooth-trigger-bay/,"Entrance from the shore is easy in most weather, it starts off as stone and after a short distance moves onto a sandy slope. Descend and you will instantly find The Garden, as the local Bedouin call this site. Although it is only over a small area this dive is perfect as corals spread from as deep as 50 m right up to 3 m. Descend over the gradual sandy slope and divers will find that they are surrounded instantaneously by huge schools of banner fish and red tooth triggers which is where the dive site got its name. Corals are found in small pinnacles with both soft and hard corals in pristine conditions. Swim over the table corals which are home to scorpion fish, anemone fish, anthias, puffers and many more. For the micro divers in us nudibranches are often seen here including the spanish dancer, while turtles and eagle rays have also been spotted.","{""dive_types"": ""Beach, Drift, Reef"", ""common_sightings"": ""Sharks, Whales, Dolphins, Turtles""}",false,api
Tiger Reef,padi:1052,https://www.padi.com/dive-site/egypt/tiger-reef/,,"{""dive_types"": ""Cave, Beach, Reef"", ""common_sightings"": ""Sharks, Whales, Dolphins, Turtles""}",false,api
Rick´s Reef,padi:1053,https://www.padi.com/dive-site/egypt/rick-s-reef/,"Rick’s Reef is located just 300 m north of the Canyon. This shallow drift dive follows the shore south to the canyon with some beautiful coral gardens and reefs. Enter into a small opening in the reef table and descend along a beautiful slope filled with salad corals. At 18 metres swim over numerous table corals. Along the wall you will find a number of pinnacles that populate the area filled with Anthias, coral Groupers, Pufferfish and Parrotfish. After approximately 35 minutes the ‘Fish Bowl’ of the Canyon will come into view. The dive ends with a short swim through the coral garden and a sandy lagoon, which is marked by a couple of coral pinnacles.","{""dive_types"": ""Beach, Drift, Reef"", ""common_sightings"": ""Sharks, Whales, Dolphins, Turtles""}",false,api
